,,Family (Scientific),Genus,Species (Scientific),Subspecies,Nom català,Species (English)
NEOGNATHAE,,,,,,
,,,221,Pandion,haliaetus,,Àguila pescadora,Western Osprey
,,,,,,,,
,32,Accipitridae,,,,,,"Kites, Hawks, Eagles"
,,,222,Elanus,caeruleus,,Esparver d’espatlles negres,Black-winged Kite
,,,223,Gypaetus,barbatus,,Trencalòs,Bearded Vulture
,,,224,Neophron,percnopterus,,Aufrany,Egyptian Vulture
,,,225,Pernis,apivorus,,Aligot vesper,European Honey Buzzard
,,,226,Gyps,rueppelli,,Voltor de Rüppell,Rüppell’s Vulture
,,,227,Gyps,fulvus,,Voltor comú,Griffon Vulture
,,,228,Aegypius,monachus,,Voltor negre,Cinereous Vulture
,,,229,Circaetus,gallicus,,Àguila marcenca,Short-toed Snake Eagle
,,,230,Clanga,pomarina,,Àguila pomerània,Lesser Spotted Eagle
,,,231,Clanga,clanga,,Àguila cridanera,Greater Spotted Eagle
,,,232,Hieraaetus,pennatus,,Àguila calçada,Booted Eagle
,,,233,Aquila,adalberti,,Àguila imperial ibèrica,Spanish Imperial Eagle
,,,234,Aquila,heliaca,,Àguila imperial oriental,Eastern Imperial Eagle
,,,235,Aquila,chrysaetos,,Àguila daurada,Golden Eagle
,,,236,Aquila,fasciata,,Àguila cuabarrada,Bonelli’s Eagle
,,,237,Accipiter,nisus,,Esparver vulgar,Eurasian Sparrowhawk
,,,238,Accipiter,gentilis,,Astor,Northern Goshawk
,,,239,Circus,aeruginosus,,Arpella vulgar,Western Marsh Harrier
,,,240,Circus,cyaneus,,Arpella pàl·lida,Hen Harrier
,,,241,Circus,macrourus,,Arpella pàl·lida russa,Pallid Harrier
,,,242,Circus,pygargus,,Arpella cendrosa,Montagu’s Harrier
,,,243,Milvus,milvus,,Milà reial,Red Kite
,,,244,Milvus,migrans,,Milà negre,Black Kite
,,,245,Haliaeetus,albicilla,,Àguila marina,White-tailed Eagle
,,,246,Buteo,lagopus,,Aligot calçat,Rough-legged Buzzard
,,,247,Buteo,rufinus,,Aligot rogenc,Long-legged Buzzard
,,,248,Buteo,buteo,,Aligot comú,Common Buzzard
,,,,,,,,
XIX,STRIGIFORMES,,,,,,
,33,Tytonidae,,,,,,Barn Owls
,,,249,Tyto,alba,,Òliba,Western Barn Owl
,,,,,,,,
,34,Strigidae,,,,,,Owls
,,,250,Otus,scops,,Xot,Eurasian Scops Owl
,,,251,Bubo,bubo,,Duc,Eurasian Eagle-Owl
,,,252,Strix,aluco,,Gamarús,Tawny Owl
,,,253,Athene,noctua,,Mussol comú,Little Owl
,,,254,Aegolius,funereus,,Mussol pirinenc,Boreal Owl
,,,255,Asio,otus,,Mussol banyut,Long-eared Owl
,,,256,Asio,flammeus,,Mussol emigrant,Short-eared Owl
,,,,,,,,
XX,BUCEROTIFORMES,,,,,,
,35,Upupidae,,,,,,Hoopoes
,,,257,Upupa,epops,,Puput,Eurasian Hoopoe
,,,,,,,,
XXI,CORACIIFORMES,,,,,,
,36,Coraciidae,,,,,,Rollers
,,,258,Coracias,garrulus,,Gaig blau,European Roller
,,,,,,,,
,37,Alcedinidae,,,,,,Kingfishers
,,,259,Alcedo,atthis,,Blauet,Common Kingfisher
,,,,,,,,
,38,Meropidae,,,,,,Bee-eaters
,,,260,Merops,persicus,,Abellerol gola-roig,Blue-cheeked Bee-eater
,,,261,Merops,apiaster,,Abellerol,European Bee-eater
,,,,,,,,
XXII,PICIFORMES,,,,,,
,39,Picidae,,,,,,Woodpeckers
,,,262,Jynx,torquilla,,Colltort,Eurasian Wryneck
,,,263,Dendrocoptes,medius,,Picot garser mitjà,Middle Spotted Woodpecker
,,,264,Dryobates,minor,,Picot garser petit,Lesser Spotted Woodpecker
,,,265,Dendrocopos,major,,Picot garser gros,Great Spotted Woodpecker
,,,266,Dryocopus,martius,,Picot negre,Black Woodpecker
,,,267,Picus,sharpei,,Picot verd ibèric,Iberian Green Woodpecker
,,,,,,,,
XXIII,FALCONIFORMES,,,,,,
,40,Falconidae,,,,,,Falcons
,,,268,Falco,naumanni,,Xoriguer petit,Lesser Kestrel
,,,269,Falco,tinnunculus,,Xoriguer comú,Common Kestrel
,,,270,Falco,vespertinus,,Falcó cama-roig,Red-footed Falcon
,,,271,Falco,eleonorae,,Falcó de la reina,Eleonora’s Falcon
,,,272,Falco,columbarius,,Esmerla,Merlin
,,,273,Falco,subbuteo,,Falcó mostatxut,Eurasian Hobby
,,,274,Falco,biarmicus,,Falcó llaner,Lanner Falcon
,,,275,Falco,cherrug,,Falcó sagrat,Saker Falcon
,,,276,Falco,peregrinus,peregrinus,Falcó pelegrí,Peregrine Falcon
,,,,,,calidus,,
,,,,,,brookei,,
,,,,,,,,
XXIV,PSITTACIFORMES,,,,,,
,41,Psittacidae,,,,,,African & New World Parrots
,,,277,Myiopsitta,monachus,,Cotorreta de pit gris,Monk Parakeet
,,,278,Thectocercus,acuticaudatus,,Aratinga capblava,Blue-crowned Parakeet
,,,279,Psittacara,erythrogenys,,Aratinga de màscara roja,Red-masked Parakeet
,,,,,,,,
,42,Psittaculidae,,,,,,Old World Parrots
,,,280,Psittacula,krameri,,Cotorra de Kramer,Rose-ringed Parakeet
,,,,,,,,
XXV,PASSERIFORMES,,,,,,
,43,Laniidae,,,,,,Shrikes
,,,281,Lanius,cristatus,,Capsigrany bru,Brown Shrike
,,,282,Lanius,collurio,,Escorxador,Red-backed Shrike
,,,283,Lanius,isabellinus,,Capsigrany pàl·lid,Isabelline Shrike
,,,284,Lanius,minor,,Trenca,Lesser Grey Shrike
,,,285,Lanius,excubitor,pallidirostris,Botxí d’estepa,Steppe Grey Shrike
,,,286,Lanius,meridionalis,,Botxí meridional,Iberian Grey Shrike
,,,287,Lanius,senator,,,Woodchat Shrike
,,,,,,senator,Capsigrany,
,,,,,,badius,Capsigrany balear,
,,,,,,,,
,44,Vireonidae,,,,,,Vireos
,,,288,Vireo,olivaceus,,Viri d’ull vermell,Red-eyed Vireo
,,,,,,,,
,45,Oriolidae,,,,,,Orioles
,,,289,Oriolus,oriolus,,Oriol,Eurasian Golden Oriole
,,,,,,,,
,46,Corvidae,,,,,,"Crows, Jays"
,,,290,Garrulus,glandarius,,Gaig,Eurasian Jay
,,,291,Pica,pica,,Garsa,Eurasian Magpie
,,,292,Nucifraga,caryocatactes,,Trencanous,Nutcracker
,,,293,Pyrrhocorax,pyrrhocorax,,Gralla de bec vermell,Red-billed Chough
,,,294,Pyrrhocorax,graculus,,Gralla de bec groc,Alpine Chough
,,,295,Coloeus,monedula,,Gralla,Western Jackdaw
,,,296,Corvus,frugilegus,,Graula,Rook
,,,297,Corvus,corone,,Cornella negra,Carrion Crow
,,,298,Corvus,cornix,,Cornella emmantellada,Hooded Crow
,,,299,Corvus,ruficollis,,Corb del desert,Brown-necked Raven
,,,300,Corvus,corax,,Corb,Northern Raven
,,,,,,,,
,47,Bombycillidae,,,,,,Waxwings
,,,301,Bombycilla,garrulus,,Ocell sedós,Bohemian Waxwing
,,,,,,,,
,48,Paridae,,,,,,Tits
,,,302,Periparus,ater,,Mallerenga petita,Coal Tit
,,,303,Lophophanes,cristatus,,Mallerenga emplomallada,European Crested Tit
,,,304,Poecile,palustris,,Mallerenga d’aigua,Marsh Tit
,,,305,Cyanistes,teneriffae,ultramarinus,Mallerenga blava africana,African Blue Tit
,,,306,Cyanistes,caeruleus,,Mallerenga blava,Eurasian Blue Tit
,,,307,Parus,major,,Mallerenga carbonera,Great Tit
,,,,,,,,
,49,Remizidae,,,,,,Penduline Tits
,,,308,Remiz,pendulinus,,Teixidor,Eurasian Penduline Tit
,,,,,,,,
,50,Panuridae,,,,,,Bearded Reedling
,,,309,Panurus,biarmicus,,Mallerenga de bigotis,Bearded Reedling
,,,,,,,,
,51,Alaudidae,,,,,,Larks
,,,310,Ammomanes,cinctura,,Terrerola cuabarrada,Bar-tailed Lark
,,,311,Lullula,arborea,,Cotoliu,Woodlark
,,,312,Alauda,arvensis,,Alosa vulgar,Eurasian Skylark
,,,313,Galerida,theklae,,Cogullada fosca,Thekla’s Lark
,,,314,Galerida,cristata,,Cogullada vulgar,Crested Lark
,,,315,Eremophila,alpestris,,Alosa banyuda,Horned Lark
,,,316,Calandrella,brachydactyla,,Terrerola vulgar,Greater Short-toed Lark
,,,317,Melanocorypha,calandra,,Calàndria,Calandra Lark
,,,318,Chersophilus,duponti,,Alosa becuda,Dupont’s Lark
,,,319,Alaudala,rufescens,,Terrerola rogenca,Lesser Short-toed Lark
,,,,,,,,
